Account,Text,Date,Compound,Positive,Neutral,Negative,Tweets Ago
BBC Breaking News,US charges seven Russian military agents linked to global cyber hack of doping and other agencies https://t.co/Kki9xU6EUd,Thu Oct 04 13:44:07 +0000 2018,-0.2732,0.0,0.116,0.884,1
BBC Breaking News,"""The GRU has interfered in free elections and pursued a hostile campaign of cyber attacks"" - Britain's ambassador t… https://t.co/K1aQ9MRhVS",Thu Oct 04 13:23:18 +0000 2018,-0.296,0.139,0.231,0.63,2
BBC Breaking News,Dutch security services expelled four Russians in April over plot targeting chemical weapons watchdog - officials https://t.co/FPjph8eXWm,Thu Oct 04 10:08:57 +0000 2018,-0.3612,0.118,0.241,0.64,3
BBC Breaking News,"Death of police officer Keith Palmer during Westminster terror attack could ""possibly"" have been prevented if armed… https://t.co/TN5Bgp4lsQ",Wed Oct 03 15:59:12 +0000 2018,-0.8834,0.043,0.408,0.549,4
BBC Breaking News,"All five victims of last year's Westminster terror attack were ""unlawfully killed"", coroner says https://t.co/S035mfvVY7",Wed Oct 03 15:38:53 +0000 2018,-0.8316,0.0,0.423,0.577,5
BBC Breaking News,Pret A Manger to fully label ingredients on its freshly made products after girl's death following allergic reaction https://t.co/W7irnjPhfs,Wed Oct 03 08:29:50 +0000 2018,-0.7269,0.0,0.276,0.724,6
BBC Breaking News,Zoe Ball is to take over as presenter of BBC Radio 2 Breakfast Show replacing Chris Evans https://t.co/bktiByCfki,Wed Oct 03 07:17:36 +0000 2018,0.0,0.0,0.0,1.0,7
BBC Breaking News,"Heterosexual couples in England &amp; Wales to be given right to enter into civil partnerships rather than marriage, Th… https://t.co/EAMejUIpvn",Tue Oct 02 10:37:30 +0000 2018,0.0,0.0,0.0,1.0,8
BBC Breaking News,"Number of people killed in Indonesia quake and tsunami rises to more than 1,200, officials say https://t.co/TZucu47QUz",Tue Oct 02 06:55:57 +0000 2018,-0.6369,0.062,0.216,0.721,9
BBC Breaking News,"@pakhead Atmosphere transforms from anger to jubilation as police back down and let crowds into shops, @pakhead rep… https://t.co/uUz5mowIWz",Tue Oct 02 06:25:58 +0000 2018,-0.5719,0.0,0.171,0.829,10
BBC Breaking News,BBC's @pakhead sees police fire shots and tear gas as desperation grows in Indonesia's disaster-stricken #Palu https://t.co/TsM9u1sKOm,Tue Oct 02 06:13:53 +0000 2018,-0.6597,0.0,0.265,0.735,11
BBC Breaking News,"French singer and songwriter Charles Aznavour has died aged 94 after a career lasting more than 80 years, a spokesm… https://t.co/rPDyux6inR",Mon Oct 01 12:16:14 +0000 2018,-0.5574,0.0,0.167,0.833,12
BBC Breaking News,"RT @5liveSport: That's it!

Mickelson hits the water and concedes to Francesco Molinari!

#TeamEurope have won the #RyderCup !!

🎙️📻https:/…",Sun Sep 30 15:02:11 +0000 2018,0.7067,0.204,0.0,0.796,13
BBC Breaking News,At least 832 people now known to have died in Indonesian earthquake and tsunami - emergency officials https://t.co/uBzqMfoKLJ,Sun Sep 30 06:52:14 +0000 2018,-0.7351,0.0,0.292,0.708,14
BBC Breaking News,Senior Tory MPs have had their personal details exposed due to security flaw in Conservative conference app https://t.co/AF063jzOxD,Sat Sep 29 14:18:39 +0000 2018,0.2732,0.122,0.066,0.812,15
BBC Breaking News,At least 384 people now known to have died after an earthquake and tsunami hit a coastal Indonesian city https://t.co/IprVdGRuCg,Sat Sep 29 07:33:05 +0000 2018,-0.5574,0.0,0.167,0.833,16
BBC Breaking News,US President Donald Trump orders FBI to reopen background inquiry into Supreme Court nominee Brett Kavanaugh over s… https://t.co/ZgqnxO5Gox,Fri Sep 28 21:09:09 +0000 2018,0.5574,0.167,0.0,0.833,17
BBC Breaking News,Brett Kavanaugh's nomination to US Supreme Court backed by Senate committee as discussions continue over FBI inquiry https://t.co/KKe4X2DRQA,Fri Sep 28 18:04:12 +0000 2018,0.5719,0.227,0.0,0.773,18
BBC Breaking News,"Facebook says the security flaw has been fixed and it has informed police. In a statement it says ""we have yet to d… https://t.co/naGAXzvkxG",Fri Sep 28 17:44:43 +0000 2018,0.34,0.098,0.0,0.902,19
BBC Breaking News,"50 million Facebook accounts compromised, the social network says - in all, 90m accounts will have to take action https://t.co/GL3MyqXgHF",Fri Sep 28 17:08:56 +0000 2018,0.0,0.0,0.0,1.0,20
BBC Breaking News,US charges seven Russian military agents linked to global cyber hack of doping and other agencies https://t.co/Kki9xU6EUd,Thu Oct 04 13:44:07 +0000 2018,-0.2732,0.0,0.116,0.884,21
BBC Breaking News,"""The GRU has interfered in free elections and pursued a hostile campaign of cyber attacks"" - Britain's ambassador t… https://t.co/K1aQ9MRhVS",Thu Oct 04 13:23:18 +0000 2018,-0.296,0.139,0.231,0.63,22
BBC Breaking News,Dutch security services expelled four Russians in April over plot targeting chemical weapons watchdog - officials https://t.co/FPjph8eXWm,Thu Oct 04 10:08:57 +0000 2018,-0.3612,0.118,0.241,0.64,23
BBC Breaking News,"Death of police officer Keith Palmer during Westminster terror attack could ""possibly"" have been prevented if armed… https://t.co/TN5Bgp4lsQ",Wed Oct 03 15:59:12 +0000 2018,-0.8834,0.043,0.408,0.549,24
BBC Breaking News,"All five victims of last year's Westminster terror attack were ""unlawfully killed"", coroner says https://t.co/S035mfvVY7",Wed Oct 03 15:38:53 +0000 2018,-0.8316,0.0,0.423,0.577,25
BBC Breaking News,Pret A Manger to fully label ingredients on its freshly made products after girl's death following allergic reaction https://t.co/W7irnjPhfs,Wed Oct 03 08:29:50 +0000 2018,-0.7269,0.0,0.276,0.724,26
BBC Breaking News,Zoe Ball is to take over as presenter of BBC Radio 2 Breakfast Show replacing Chris Evans https://t.co/bktiByCfki,Wed Oct 03 07:17:36 +0000 2018,0.0,0.0,0.0,1.0,27
BBC Breaking News,"Heterosexual couples in England &amp; Wales to be given right to enter into civil partnerships rather than marriage, Th… https://t.co/EAMejUIpvn",Tue Oct 02 10:37:30 +0000 2018,0.0,0.0,0.0,1.0,28
BBC Breaking News,"Number of people killed in Indonesia quake and tsunami rises to more than 1,200, officials say https://t.co/TZucu47QUz",Tue Oct 02 06:55:57 +0000 2018,-0.6369,0.062,0.216,0.721,29
BBC Breaking News,"@pakhead Atmosphere transforms from anger to jubilation as police back down and let crowds into shops, @pakhead rep… https://t.co/uUz5mowIWz",Tue Oct 02 06:25:58 +0000 2018,-0.5719,0.0,0.171,0.829,30
BBC Breaking News,BBC's @pakhead sees police fire shots and tear gas as desperation grows in Indonesia's disaster-stricken #Palu https://t.co/TsM9u1sKOm,Tue Oct 02 06:13:53 +0000 2018,-0.6597,0.0,0.265,0.735,31
BBC Breaking News,"French singer and songwriter Charles Aznavour has died aged 94 after a career lasting more than 80 years, a spokesm… https://t.co/rPDyux6inR",Mon Oct 01 12:16:14 +0000 2018,-0.5574,0.0,0.167,0.833,32
BBC Breaking News,"RT @5liveSport: That's it!

Mickelson hits the water and concedes to Francesco Molinari!

#TeamEurope have won the #RyderCup !!

🎙️📻https:/…",Sun Sep 30 15:02:11 +0000 2018,0.7067,0.204,0.0,0.796,33
BBC Breaking News,At least 832 people now known to have died in Indonesian earthquake and tsunami - emergency officials https://t.co/uBzqMfoKLJ,Sun Sep 30 06:52:14 +0000 2018,-0.7351,0.0,0.292,0.708,34
BBC Breaking News,Senior Tory MPs have had their personal details exposed due to security flaw in Conservative conference app https://t.co/AF063jzOxD,Sat Sep 29 14:18:39 +0000 2018,0.2732,0.122,0.066,0.812,35
BBC Breaking News,At least 384 people now known to have died after an earthquake and tsunami hit a coastal Indonesian city https://t.co/IprVdGRuCg,Sat Sep 29 07:33:05 +0000 2018,-0.5574,0.0,0.167,0.833,36
BBC Breaking News,US President Donald Trump orders FBI to reopen background inquiry into Supreme Court nominee Brett Kavanaugh over s… https://t.co/ZgqnxO5Gox,Fri Sep 28 21:09:09 +0000 2018,0.5574,0.167,0.0,0.833,37
BBC Breaking News,Brett Kavanaugh's nomination to US Supreme Court backed by Senate committee as discussions continue over FBI inquiry https://t.co/KKe4X2DRQA,Fri Sep 28 18:04:12 +0000 2018,0.5719,0.227,0.0,0.773,38
BBC Breaking News,"Facebook says the security flaw has been fixed and it has informed police. In a statement it says ""we have yet to d… https://t.co/naGAXzvkxG",Fri Sep 28 17:44:43 +0000 2018,0.34,0.098,0.0,0.902,39
BBC Breaking News,"50 million Facebook accounts compromised, the social network says - in all, 90m accounts will have to take action https://t.co/GL3MyqXgHF",Fri Sep 28 17:08:56 +0000 2018,0.0,0.0,0.0,1.0,40
BBC Breaking News,"Officers searching for missing Worcester student Thomas Jones, 18, find a body in the River Severn https://t.co/Zj8Ug65gr0",Fri Sep 28 15:55:27 +0000 2018,-0.296,0.0,0.128,0.872,41
BBC Breaking News,Danish police seal off bridges and ferries to Sweden and Germany in a major operation https://t.co/uvVH4ANjHm,Fri Sep 28 12:54:18 +0000 2018,0.0,0.0,0.0,1.0,42
BBC Breaking News,"Pret a Manger’s allergy labelling was inadequate, says coroner in case of girl who died after eating a baguette https://t.co/93qasWccnJ",Fri Sep 28 09:46:20 +0000 2018,-0.743,0.0,0.283,0.717,43
BBC Breaking News,Tesla chief executive Elon Musk accused of fraud by the US Securities and Exchange Commission https://t.co/Qf8jtsrv8G,Thu Sep 27 20:29:32 +0000 2018,-0.5859,0.104,0.283,0.613,44
BBC Breaking News,"""My family and my name have been totally and permanently destroyed"" - US Supreme Court nominee Brett Kavanaugh reac… https://t.co/bH7othXr2Q",Thu Sep 27 19:18:04 +0000 2018,0.0352,0.15,0.144,0.706,45
BBC Breaking News,"RT @BBCSport: The proposed £600m sale of Wembley Stadium has been unanimously backed by the Football Association's board.

https://t.co/6sX…",Thu Sep 27 15:14:06 +0000 2018,0.0258,0.058,0.0,0.942,46
BBC Breaking News,"""I am here today not because I want to be. I am terrified. I am here because I believe it is my civic duty to tell… https://t.co/1mIY5lYWdC",Thu Sep 27 14:40:05 +0000 2018,-0.6395,0.0,0.199,0.801,47
BBC Breaking News,The real identity of one of the Salisbury Novichock poisoning suspects is revealed by an investigative website https://t.co/5ySt719D3g,Wed Sep 26 16:32:23 +0000 2018,-0.7351,0.0,0.279,0.721,48
BBC Breaking News,"China has been attempting to interfere in the mid-term elections in November, President Trump tells UN https://t.co/FkYVJlPMaW",Wed Sep 26 14:55:12 +0000 2018,0.0,0.0,0.0,1.0,49
BBC Breaking News,"Suspects in the 1974 Birmingham pub bombings will not be named at fresh inquests, the appeal court rules https://t.co/RqzM3HkGfz",Wed Sep 26 13:08:57 +0000 2018,-0.0258,0.106,0.111,0.783,50
BBC Breaking News,"""Sexually violent predator"" Bill Cosby given three to 10-year jail term for drugging and molesting a woman in 2004 https://t.co/vNPK6YmTfA",Tue Sep 25 18:13:58 +0000 2018,-0.8271,0.0,0.312,0.688,51
BBC Breaking News,"""Stronger, safer, richer"": Donald Trump tells UN he has done more in under two years than almost any prior president https://t.co/coDul33Afk",Tue Sep 25 14:50:14 +0000 2018,0.4215,0.123,0.0,0.877,52
BBC Breaking News,"Amid concerns about his job, Trump-Russia probe chief Rod Rosenstein has ""extended conversation"" with President Tru… https://t.co/IAXR7JSl1Y",Mon Sep 24 17:24:24 +0000 2018,0.0,0.0,0.0,1.0,53
BBC Breaking News,"Rod Rosenstein, the man overseeing Trump-Russia probe, en route to White House amid reports he will offer to quit https://t.co/3kxi0m3UId",Mon Sep 24 15:11:09 +0000 2018,0.0,0.0,0.0,1.0,54
BBC Breaking News,"RT @BBCSport: Anthony Joshua wins! 🥊

He’s won by knockout in round 7!

AJ retains his heavyweight titles. 

Live reaction https://t.co/e2u…",Sat Sep 22 21:46:29 +0000 2018,0.8395,0.285,0.0,0.715,55
BBC Breaking News,"Labour should be prepared to back demands for a new Brexit referendum, deputy leader Tom Watson has said. https://t.co/x9EOYEtffe",Sat Sep 22 20:09:28 +0000 2018,0.2263,0.101,0.0,0.899,56
BBC Breaking News,The woman accusing Supreme Court nominee Brett Kavanaugh of sexual assault agrees to testify against him next week https://t.co/W5RTtIVAwN,Sat Sep 22 18:48:42 +0000 2018,-0.0258,0.208,0.212,0.579,57
BBC Breaking News,US cable giant wins rare blind auction process set by the UK's Takeover Panel. https://t.co/Lc0sggm0FL,Sat Sep 22 18:23:52 +0000 2018,0.25,0.191,0.139,0.67,58
BBC Breaking News,Chas Hodges - one half of the musical duo Chas &amp; Dave - has died https://t.co/sLok83mgNk,Sat Sep 22 12:20:02 +0000 2018,-0.5574,0.0,0.217,0.783,59
BBC Breaking News,"Man rescued from air pocket in sunken Lake Victoria ferry, two days after it capsized with loss of around 170 lives https://t.co/l5rG7Bsa58",Sat Sep 22 11:10:39 +0000 2018,0.128,0.112,0.092,0.797,60
BBC Breaking News,"Several people killed in gun attack during Iranian military parade in south-west city of Ahvaz, state media says https://t.co/OweQk7y5Qp",Sat Sep 22 06:19:09 +0000 2018,-0.875,0.0,0.385,0.615,61
BBC Breaking News,"""No-one wants a good deal more than me, but the EU should be clear I will not overturn the result of the referendum… https://t.co/xGM9JxrjiN",Fri Sep 21 13:17:13 +0000 2018,0.6542,0.211,0.0,0.789,62
BBC Breaking News,"UK PM Theresa May demands new proposals from EU to break Brexit ""impasse"" after Chequers plan rejected by EU leaders https://t.co/4IzVJBIco0",Fri Sep 21 13:14:06 +0000 2018,-0.5106,0.0,0.142,0.858,63
BBC Breaking News,"UK PM Theresa May to make statement in Downing Street on state of #Brexit negotiations at 13:45 BST

https://t.co/SUQnGZEPKZ",Fri Sep 21 12:02:41 +0000 2018,0.0,0.0,0.0,1.0,64
BBC Breaking News,"At least 86 bodies are found after a Tanzanian ferry overturns in Lake Victoria, officials say https://t.co/Pcy3ObgGin",Fri Sep 21 07:52:13 +0000 2018,-0.3818,0.0,0.148,0.852,65
BBC Breaking News,Multiple deaths and injuries after a shooting at a pharmacy distribution centre in Maryland - US police https://t.co/38OudkxJja,Thu Sep 20 16:10:35 +0000 2018,0.0,0.0,0.0,1.0,66
BBC Breaking News,"After criticism of her Chequers plan by EU leaders, Theresa May stands by her #Brexit proposals as ""the only seriou… https://t.co/jAq6ulD1iY",Thu Sep 20 14:13:40 +0000 2018,-0.4404,0.0,0.127,0.873,67
BBC Breaking News,"European Council President Donald Tusk says EU leaders agree Theresa May's Chequers plan for #Brexit ""will not work… https://t.co/9Mc9yWQLUJ",Thu Sep 20 13:36:45 +0000 2018,0.3612,0.122,0.0,0.878,68
BBC Breaking News,"RT @BBCSport: The suspension of Russia's anti-doping agency (Rusada) has been lifted despite widespread opposition.

Full story: https://t.…",Thu Sep 20 12:59:39 +0000 2018,0.0,0.0,0.0,1.0,69
